filename,culture,search_query,title,source_url,author,license,license_url,image_hash
indian_001.jpg,Indian,,File:Description- The Kathputli Puppet Theatre from India performs at the Kashgar Teahouse during the 2002 Smithsonian Folklife Festival on The Silk Road. (2548102789).jpg,https://commons.wikimedia.org/wiki/File:Description-_The_Kathputli_Puppet_Theatre_from_India_performs_at_the_Kashgar_Teahouse_during_the_2002_Smithsonian_Folklife_Festival_on_The_Silk_Road._(2548102789).jpg,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/25053835@N03"">Smithsonian Institution</a>",No restrictions,https://www.flickr.com/commons/usage/,09c6393e7718c08424538ca03ab1d1dc
indian_002.jpg,Indian,,"File:Hatima Putul , a traditional Indian terracotta art DSC 4721 1.jpg","https://commons.wikimedia.org/wiki/File:Hatima_Putul_,_a_traditional_Indian_terracotta_art_DSC_4721_1.jpg","<a href=""//commons.wikimedia.org/wiki/User:JyotiPN"" title=""User:JyotiPN"">JyotiPN</a>",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,ce106ce49bbb86443cda56f464ac76e8
indian_003.jpg,Indian,,File:Jou Kondhei or Jau Kandhei.jpg,https://commons.wikimedia.org/wiki/File:Jou_Kondhei_or_Jau_Kandhei.jpg,<bdi>Subhashish Panigrahi</bdi>,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,e1edd3ac5274b4a2bae556fcb74b2c36
indian_004.jpg,Indian,,File:Jou Kondhei photoshoot set and props.jpg,https://commons.wikimedia.org/wiki/File:Jou_Kondhei_photoshoot_set_and_props.jpg,<bdi>Subhashish Panigrahi</bdi>,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,0214ec90cfc746f9fe983014f5e2ca96
indian_005.jpg,Indian,,File:Kachina dolls.jpg,https://commons.wikimedia.org/wiki/File:Kachina_dolls.jpg,Jesse Walter Fewkes,Public domain,,3431e957642889e24ca3287989521e0d
indian_006.jpg,Indian,,File:Kolu (play the carrom).jpg,https://commons.wikimedia.org/wiki/File:Kolu_(play_the_carrom).jpg,"<a href=""//commons.wikimedia.org/wiki/User:S.Elaiyaraja"" title=""User:S.Elaiyaraja"">S.Elaiyaraja</a>",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,71aefc735808d6e2f25a80a2b8cd3a32
indian_007.jpg,Indian,,File:Lois Red Elk Traditional Artisan (c9fde9ac-218a-4203-b745-ccb03fcbb8ef).jpg,https://commons.wikimedia.org/wiki/File:Lois_Red_Elk_Traditional_Artisan_(c9fde9ac-218a-4203-b745-ccb03fcbb8ef).jpg,NPS Photo,Public domain,,12b6abd6655459678501effa6bdbb769
indian_008.jpg,Indian,,File:Pizza decorated with doll.jpg,https://commons.wikimedia.org/wiki/File:Pizza_decorated_with_doll.jpg,"<a href=""//commons.wikimedia.org/w/index.php?title=User:TAPAS_KUMAR_HALDER&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:TAPAS KUMAR HALDER (page does not exist)"">TAPAS KUMAR HALDER</a>",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,e6065ebe08592d421e0a1049ede57b75
indian_009.jpg,Indian,,File:Valentine's Day meme (in Odia).jpg,https://commons.wikimedia.org/wiki/File:Valentine's_Day_meme_(in_Odia).jpg,<bdi>Subhashish Panigrahi</bdi>,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,6c8aee69e39b40fffd1d8b9b15dac637
indian_010.jpg,Indian,,File:Dasara doll arrangement.jpg,https://commons.wikimedia.org/wiki/File:Dasara_doll_arrangement.jpg,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Sujphotographer&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Sujphotographer (page does not exist)"">Sujatha Bhagath</a>",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,08d1ed7176287f72440a135841829db0
