concept,english,hindi_native,hindi_hinglish,urdu_native,urdu_hinglish,bengali_native,bengali_hinglish,tamil_native,tamil_hinglish,telugu_native,telugu_hinglish
apple,image of an apple,सेब की तस्वीर,seb ki tasveer,سیب کی تصویر,seb ki tasveer,আপেলের ছবি,apeler chhobi,ஆப்பிள் படம்,apple padam,ఆపిల్ చిత్రం,apple chitram
orange,image of an orange,संतरे की तस्वीर,santre ki tasveer,سنترے کی تصویر,santre ki tasveer,কমলার ছবি,komolar chhobi,ஆரஞ்சு படம்,aranju padam,నారింజ చిత్రం,naarinja chitram
pear,image of a pear,नाशपाती की तस्वीर,naashpati ki tasveer,ناشپاتی کی تصویر,naashpati ki tasveer,নাশপাতির ছবি,naashpatir chhobi,பேரிக்காய் படம்,perikkai padam,బేరి పండు చిత్రం,beri pandu chitram
mushroom,image of a mushroom,मशरूम की तस्वीर,mushroom ki tasveer,کھمبی کی تصویر,khumbi ki tasveer,মাশরুমের ছবি,mashroomer chhobi,காளான் படம்,kaalaan padam,పుట్టగొడుగు చిత్రం,puttagodugu chitram
rose,image of a rose,गुलाब की तस्वीर,gulaab ki tasveer,گلاب کی تصویر,gulaab ki tasveer,গোলাপের ছবি,golaper chhobi,ரோஜா படம்,roja padam,గులాబీ చిత్రం,gulaabi chitram
bottle,image of a bottle,बोतल की तस्वीर,botal ki tasveer,بوتل کی تصویر,botal ki tasveer,বোতলের ছবি,botoler chhobi,பாட்டில் படம்,paattil padam,సీసా చిత్రం,seesa chitram
bee,image of a bee,मधुमक्खी की तस्वीर,madhumakkhi ki tasveer,شہد کی مکھی کی تصویر,shahad ki makkhi ki tasveer,মৌমাছির ছবি,moumachir chhobi,தேனீ படம்,theni padam,తేనెటీగ చిత్రం,tenetiga chitram
beetle,image of a beetle,भृंग की तस्वीर,bhring ki tasveer,بھونرے کی تصویر,bhaunre ki tasveer,গুবরে পোকার ছবি,gubre pokar chhobi,வண்டு படம்,vandu padam,బీటిల్ పురుగు చిత్రం,beetle purugu chitram
butterfly,image of a butterfly,तितली की तस्वीर,titli ki tasveer,تتلی کی تصویر,titli ki tasveer,প্রজাপতির ছবি,projapotir chhobi,பட்டாம்பூச்சி படம்,pattampoochi padam,సీతాకోకచిలుక చిత్రం,seetakokachiluka chitram
caterpillar,image of a caterpillar,सुंडी की तस्वीर,sundi ki tasveer,سنڈی کی تصویر,sundi ki tasveer,শুঁয়োপোকার ছবি,shuyopokar chhobi,கம்பளிப்பூச்சி படம்,kambalippoochi padam,గొంగళి పురుగు చిత్రం,gongali purugu chitram
cockroach,image of a cockroach,तिलचट्टे की तस्वीर,tilchatte ki tasveer,تلچھٹے کی تصویر,tilchhatte ki tasveer,আরশোলার ছবি,arsholar chhobi,கரப்பான் பூச்சி படம்,karappaan poochi padam,బొద్దింక చిత్రం,boddinka chitram
tiger,image of a tiger,बाघ की तस्वीर,baagh ki tasveer,شیر کی تصویر,sher ki tasveer,বাঘের ছবি,bagher chhobi,புலி படம்,puli padam,పులి చిత్రం,puli chitram
wolf,image of a wolf,भेड़िये की तस्वीर,bhediye ki tasveer,بھیڑیے کی تصویر,bhediye ki tasveer,নেকড়ের ছবি,nekrer chhobi,ஓநாய் படம்,onaai padam,తోడేలు చిత్రం,todelu chitram
camel,image of a camel,ऊंट की तस्वीर,oont ki tasveer,اونٹ کی تصویر,oont ki tasveer,উটের ছবি,uter chhobi,ஒட்டகம் படம்,ottagam padam,ఒంటె చిత్రం,onte chitram
chimp,image of a chimp,चिंपैंजी की तस्वीर,chimpanzee ki tasveer,چمپینزی کی تصویر,chimpanzee ki tasveer,শিম্পাঞ্জির ছবি,shimpanjir chhobi,சிம்பன்சி படம்,simpansi padam,చింపాంజీ చిత్రం,chimpanzee chitram
kangaroo,image of a kangaroo,कंगारू की तस्वीर,kangaroo ki tasveer,کینگرو کی تصویر,kangaroo ki tasveer,ক্যাঙ্গারুর ছবি,kyangarur chhobi,கங்காரு படம்,kangaru padam,కంగారూ చిత్రం,kangaroo chitram
fox,image of a fox,लोमड़ी की तस्वीर,lomdi ki tasveer,لومڑی کی تصویر,lomdi ki tasveer,শিয়ালের ছবি,shialer chhobi,நரி படம்,nari padam,నక్క చిత్రం,nakka chitram
raccoon,image of a raccoon,रैकून की तस्वीर,raccoon ki tasveer,ریکون کی تصویر,raccoon ki tasveer,র‍্যাকুনের ছবি,raccooner chhobi,ராகூன் படம்,raccoon padam,రకూన్ చిత్రం,raccoon chitram
