concept,english,hindi_native,hindi_hinglish,urdu_native,urdu_hinglish,bengali_native,bengali_hinglish,tamil_native,tamil_hinglish,telugu_native,telugu_hinglish
apple,apple,सेब,seb,سیب,seb,আপেল,apel,ஆப்பிள்,apple,ఆపిల్,apple
orange,orange,संतरा,santra,سنترہ,santra,কমলা,komola,ஆரஞ்சு,aranju,నారింజ,naarinja
pear,pear,नाशपाती,naashpati,ناشپاتی,naashpati,নাশপাতি,naashpati,பேரிக்காய்,perikkai,బేరి పండు,beri pandu
mushroom,mushroom,मशरूम,mushroom,کھمبی,khumbi,মাশরুম,mashroom,காளான்,kaalaan,పుట్టగొడుగు,puttagodugu
rose,rose,गुलाब,gulaab,گلاب,gulaab,গোলাপ,golap,ரோஜா,roja,గులాబీ,gulaabi
bottle,bottle,बोतल,botal,بوتل,botal,বোতল,botol,பாட்டில்,paattil,సీసా,seesa
bee,bee,मधुमक्खी,madhumakkhi,شہد کی مکھی,shahad ki makkhi,মৌমাছি,moumachi,தேனீ,theni,తేనెటీగ,tenetiga
beetle,beetle,भृंग,bhring,بھونرا,bhaunra,গুবরে পোকা,gubre poka,வண்டு,vandu,బీటిల్ పురుగు,beetle purugu
butterfly,butterfly,तितली,titli,تتلی,titli,প্রজাপতি,projapoti,பட்டாம்பூச்சி,pattampoochi,సీతాకోకచిలుక,seetakokachiluka
caterpillar,caterpillar,सुंडी,sundi,سنڈی,sundi,শুঁয়োপোকা,shuyopoka,கம்பளிப்பூச்சி,kambalippoochi,గొంగళి పురుగు,gongali purugu
cockroach,cockroach,तिलचट्टा,tilchatta,تلچھٹا,tilchhatta,আরশোলা,arshola,கரப்பான் பூச்சி,karappaan poochi,బొద్దింక,boddinka
tiger,tiger,बाघ,baagh,شیر,sher,বাঘ,bagh,புலி,puli,పులి,puli
wolf,wolf,भेड़िया,bhediya,بھیڑیا,bhediya,নেকড়ে,nekre,ஓநாய்,onaai,తోడేలు,todelu
camel,camel,ऊंट,oont,اونٹ,oont,উট,ut,ஒட்டகம்,ottagam,ఒంటె,onte
chimp,chimp,चिंपैंजी,chimpanzee,چمپینزی,chimpanzee,শিম্পাঞ্জি,shimpanji,சிம்பன்சி,simpansi,చింపాంజీ,chimpanzee
kangaroo,kangaroo,कंगारू,kangaroo,کینگرو,kangaroo,ক্যাঙ্গারু,kyangaru,கங்காரு,kangaru,కంగారూ,kangaroo
fox,fox,लोमड़ी,lomdi,لومڑی,lomdi,শিয়াল,shial,நரி,nari,నక్క,nakka
raccoon,raccoon,रैकून,raccoon,ریکون,raccoon,র‍্যাকুন,raccoon,ராகூன்,raccoon,రకూన్,raccoon
lobster,lobster,लॉबस्टर,lobster,جھینگا مچھلی,jhinga machhli,লবস্টার,lobster,லாப்ஸ்டர்,lobster,లాబ్స్టర్,lobster
spider,spider,मकड़ी,makdi,مکڑی,makdi,মাকড়সা,makorsha,சிலந்தி,silandhi,సాలీడు,saleedu
worm,worm,केंचुआ,kenchua,کیڑا,kira,কেঁচো,kecho,புழு,puzhu,పురుగు,purugu
crocodile,crocodile,मगरमच्छ,magarmach,مگرمچھ,magarmach,কুমির,kumir,முதலை,mudalai,మొసలి,mosali
lizard,lizard,छिपकली,chipkali,چھپکلی,chipkali,টিকটিকি,tiktiki,பல்லி,palli,బల్లి,balli
dinosaur,dinosaur,डायनासोर,dinosaur,ڈائناسور,dinosaur,ডাইনোসর,dinosor,டைனோசர்,dinosaur,డైనోసార్,dinosaur
snake,snake,सांप,saanp,سانپ,saanp,সাপ,sap,பாம்பு,paambu,పాము,paamu
turtle,turtle,कछुआ,kachua,کچھوا,kachua,কচ্ছপ,kocchop,ஆமை,aamai,తాబేలు,taabelu
hamster,hamster,हैम्स्टर,hamster,ہیمسٹر,hamster,হ্যামস্টার,hamster,ஹாம்ஸ்டர்,hamster,హామ్స్టర్,hamster
rabbit,rabbit,खरगोश,khargosh,خرگوش,khargosh,খরগোশ,khargosh,முயல்,muyal,కుందేలు,kundelu
squirrel,squirrel,गिलहरी,gilhari,گلہری,gilhari,কাঠবিড়াল,kathbiral,அணில்,anil,ఉడుత,uduta
cloud,cloud,बादल,baadal,بادل,baadal,মেঘ,megh,மேகம்,megam,మేఘం,megham
