concept,english,hindi,urdu,bengali,tamil,telugu
apple,image of an apple,सेब की तस्वीर,سیب کی تصویر,আপেলের ছবি,ஆப்பிள் படம்,ఆపిల్ చిత్రం
orange,image of an orange,संतरे की तस्वीर,سنترے کی تصویر,কমলার ছবি,ஆரஞ்சு படம்,నారింజ చిత్రం
pear,image of a pear,नाशपाती की तस्वीर,ناشپاتی کی تصویر,নাশপাতির ছবি,பேரிக்காய் படம்,బేరి పండు చిత్రం
mushroom,image of a mushroom,मशरूम की तस्वीर,کھمبی کی تصویر,মাশরুমের ছবি,காளான் படம்,పుట్టగొడుగు చిత్రం
rose,image of a rose,गुलाब की तस्वीर,گلاب کی تصویر,গোলাপের ছবি,ரோஜா படம்,గులాబీ చిత్రం
bottle,image of a bottle,बोतल की तस्वीर,بوتل کی تصویر,বোতলের ছবি,பாட்டில் படம்,సీసా చిత్రం
bee,image of a bee,मधुमक्खी की तस्वीर,شہد کی مکھی کی تصویر,মৌমাছির ছবি,தேனீ படம்,తేనెటీగ చిత్రం
beetle,image of a beetle,भृंग की तस्वीर,بھونرے کی تصویر,গুবরে পোকার ছবি,வண்டு படம்,బీటిల్ పురుగు చిత్రం
butterfly,image of a butterfly,तितली की तस्वीर,تتلی کی تصویر,প্রজাপতির ছবি,பட்டாம்பூச்சி படம்,సీతాకోకచిలుక చిత్రం
caterpillar,image of a caterpillar,सुंडी की तस्वीर,سنڈی کی تصویر,শুঁয়োপোকার ছবি,கம்பளிப்பூச்சி படம்,గొంగళి పురుగు చిత్రం
cockroach,image of a cockroach,तिलचट्टे की तस्वीर,تلچھٹے کی تصویر,আরশোলার ছবি,கரப்பான் பூச்சி படம்,బొద్దింక చిత్రం
tiger,image of a tiger,बाघ की तस्वीर,شیر کی تصویر,বাঘের ছবি,புலி படம்,పులి చిత్రం
wolf,image of a wolf,भेड़िये की तस्वीर,بھیڑیے کی تصویر,নেকড়ের ছবি,ஓநாய் படம்,తోడేలు చిత్రం
camel,image of a camel,ऊंट की तस्वीर,اونٹ کی تصویر,উটের ছবি,ஒட்டகம் படம்,ఒంటె చిత్రం
chimp,image of a chimp,चिंपैंजी की तस्वीर,چمپینزی کی تصویر,শিম্পাঞ্জির ছবি,சிம்பன்சி படம்,చింపాంజీ చిత్రం
kangaroo,image of a kangaroo,कंगारू की तस्वीर,کینگرو کی تصویر,ক্যাঙ্গারুর ছবি,கங்காரு படம்,కంగారూ చిత్రం
fox,image of a fox,लोमड़ी की तस्वीर,لومڑی کی تصویر,শিয়ালের ছবি,நரி படம்,నక్క చిత్రం
raccoon,image of a raccoon,रैकून की तस्वीर,ریکون کی تصویر,র‍্যাকুনের ছবি,ராகூன் படம்,రకూన్ చిత్రం
lobster,image of a lobster,लॉबस्टर की तस्वीर,جھینگا مچھلی کی تصویر,লবস্টারের ছবি,லாப்ஸ்டர் படம்,లాబ్స్టర్ చిత్రం
spider,image of a spider,मकड़ी की तस्वीर,مکڑی کی تصویر,মাকড়সার ছবি,சிலந்தி படம்,సాలీడు చిత్రం
worm,image of a worm,केंचुए की तस्वीर,کیڑے کی تصویر,কেঁচোর ছবি,புழு படம்,పురుగు చిత్రం
crocodile,image of a crocodile,मगरमच्छ की तस्वीर,مگرمچھ کی تصویر,কুমিরের ছবি,முதலை படம்,మొసలి చిత్రం
lizard,image of a lizard,छिपकली की तस्वीर,چھپکلی کی تصویر,টিকটিকির ছবি,பல்லி படம்,బల్లి చిత్రం
dinosaur,image of a dinosaur,डायनासोर की तस्वीर,ڈائناسور کی تصویر,ডাইনোসরের ছবি,டைனோசர் படம்,డైనోసార్ చిత్రం
snake,image of a snake,सांप की तस्वीर,سانپ کی تصویر,সাপের ছবি,பாம்பு படம்,పాము చిత్రం
turtle,image of a turtle,कछुए की तस्वीर,کچھوے کی تصویر,কচ্ছপের ছবি,ஆமை படம்,తాబేలు చిత్రం
hamster,image of a hamster,हैम्स्टर की तस्वीर,ہیمسٹر کی تصویر,হ্যামস্টারের ছবি,ஹாம்ஸ்டர் படம்,హామ్స్టర్ చిత్రం
rabbit,image of a rabbit,खरगोश की तस्वीर,خرگوش کی تصویر,খরগোশের ছবি,முயல் படம்,కుందేలు చిత్రం
squirrel,image of a squirrel,गिलहरी की तस्वीर,گلہری کی تصویر,কাঠবিড়ালের ছবি,அணில் படம்,ఉడుత చిత్రం
cloud,image of a cloud,बादल की तस्वीर,بادل کی تصویر,মেঘের ছবি,மேகம் படம்,మేఘం చిత్రం
